seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.3,hybrid_fista,0.3846757112982517,0.30702845378494126,0.5463136584309535,0.09462926963708092,100
7,0.3,hybrid_lfista_frozen,0.375365874227889,0.3000154835636284,0.5335588700155676,0.08978979131272162,100
7,0.3,hybrid_lfista_joint,0.37515039193557664,0.2998239278288357,0.5332537502291177,0.08994720947387562,100
7,0.3,ml_only,0.4416907667682915,0.34945977037963977,0.6274936297796571,,100
7,0.3,ml_only_torch,0.4441171833679498,0.3530125405905028,0.6311624218897358,,100
7,0.5,hybrid_fista,0.3303464935006841,0.26399086083346596,0.4692030723885292,0.09417295206001094,100
7,0.5,hybrid_lfista_frozen,0.3261698263889862,0.26042246248042206,0.46355291750333977,0.08985617911639535,100
7,0.5,hybrid_lfista_joint,0.3252910374098974,0.2597252445778429,0.4623004478482306,0.08974308693722133,100
7,0.5,ml_only,0.4416907667682915,0.34945977037963977,0.6274936297796571,,100
7,0.5,ml_only_torch,0.4451048323305371,0.35321803328393614,0.6325548694411998,,100
