measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,bg_type,run_id
0.05,hybrid_lfista_joint,0.0635220228431387,0.0082435133301377,0.0047593946402232,0.0501572326572902,0.0070692937271694,0.9653604079410166,0.1140426259651946,0.3508904128244363,0.0517015587192837,3,385,0.0093284134948376,shallow,prod_bg_shallow_dct
0.05,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,shallow,prod_bg_shallow_dct
0.05,mlp_concat_ub,0.0748731611486173,0.0064215959002034,0.0037075101216094,0.0612596605369952,0.0050891273720515,0.9692061043595102,0.0980742563281051,,,3,385,0.0072667198383545,shallow,prod_bg_shallow_dct
0.05,pca_regression_ub,0.0798922351082739,0.0107996727061923,0.00623519394408,0.0646262166164517,0.0090544781446947,1.1023914977110292,0.1829429240109134,,,3,385,0.0122209801303968,shallow,prod_bg_shallow_dct
0.1,ae_regression_ub,0.0141036910768423,0.0003760817584322,0.0002171309044681,0.0115015719276133,0.0003303748514125,0.1856020280554479,0.0076678626330424,,,3,385,0.0004255765727576,shallow,prod_bg_shallow_dct
0.1,hybrid_lfista_joint,0.0623968358202083,0.0082300951065225,0.0047516476252069,0.0485097795009946,0.0070685966724068,0.947956348591432,0.1119494702334715,0.4298226038087225,0.0617967186490285,3,385,0.0093132293454057,shallow,prod_bg_shallow_dct
0.1,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,shallow,prod_bg_shallow_dct
0.1,mlp_concat_ub,0.0776605596206262,0.0122748224928833,0.007086872070521,0.0635050071488673,0.0095594204763237,1.0131201231144424,0.1861493011942266,,,3,385,0.0138902692582212,shallow,prod_bg_shallow_dct
0.1,pca_regression_ub,0.0849529291508398,0.0081185121384485,0.0046872251685525,0.0689803133031527,0.0071040203464612,1.1639141866411424,0.1400661668676751,,,3,385,0.0091869613303629,shallow,prod_bg_shallow_dct
0.15,ae_regression_ub,0.0139903436324817,0.0004222508499286,0.0002437866418718,0.0113502283914073,0.0003881288006557,0.1854654460097126,0.00625072437922,,,3,385,0.0004778218180687,shallow,prod_bg_shallow_dct
