measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
0.05,ae_regression_ub,0.01711494960087979,0.00015010668363801857,8.666413420557201e-05,0.014075548680996674,0.00013649472931832356,0.22123982746024304,0.0033239886965538094,,,3,97,0.00016986170304292115,"AE [u,b]"
0.05,measurement_only_csgm,0.03683043753018808,0.00667657168240727,0.0038547204581016697,0.02996826436471661,0.0058122349119728335,0.5663789620714706,0.1172031275406206,,,3,97,0.0075552520978792725,Measurement-only CSGM
0.05,ml_only,0.02214790440092793,0.0009016218721176149,0.0005205516305743593,0.01789040845660442,0.0007209985815067639,0.3004227453095732,0.015668956549805466,,,3,97,0.0010202811959257442,ML only
0.05,mlp_concat_ub,0.14655984516987178,0.010755992053569393,0.006209974907529765,0.1182464315892748,0.008246236071124464,1.9923980519928308,0.1579434526757431,,,3,97,0.012171550818758339,"MLP [u,b]"
0.05,pca_regression_ub,0.1236187668956022,0.006304612765477185,0.003639969877284604,0.0990933103040265,0.004353724944023965,1.7335287747298171,0.11853368315700384,,,3,97,0.007134340959477824,"PCA [u,b]"
0.05,ridge_prior_csgm,0.014485971059012198,0.001762715953343422,0.0010177045301676725,0.011784085283842782,0.0014312153891658617,0.20210469142920365,0.027222225648019998,,,3,97,0.0019947008791286382,CLP-CSGM Ridge
0.05,ridge_prior_only_decoder,0.01604726530731614,0.0013277311185209222,0.0007665659186894974,0.013146024896625566,0.0012284013901298781,0.2274630745974013,0.019664262737440038,,,3,97,0.001502469200631415,Prior-only Ridge
0.1,ae_regression_ub,0.016400247985965153,0.00022456663392357004,0.0001296536065467813,0.013480012878017549,0.00022123686482569655,0.2092383459014022,0.0028965987660094623,,,3,97,0.0002541210688316914,"AE [u,b]"
0.1,measurement_only_csgm,0.029709224078491452,0.0023575345664457563,0.0013611232165613052,0.022894888197589707,0.001447508616197328,0.4498158744759481,0.04975812346473448,,,3,97,0.002667801504460158,Measurement-only CSGM
0.1,ml_only,0.02214790440092793,0.0009016218721176149,0.0005205516305743593,0.01789040845660442,0.0007209985815067639,0.3004227453095732,0.015668956549805466,,,3,97,0.0010202811959257442,ML only
0.1,mlp_concat_ub,0.15138770852246572,0.02804886173416701,0.016194017872683916,0.12265788221383973,0.022286830859236606,2.0711336599740746,0.4557176389068783,,,3,97,0.03174027503046047,"MLP [u,b]"
0.1,pca_regression_ub,0.12145554581364103,0.008650315366522552,0.004994261905436952,0.09757593860123463,0.006266522559095948,1.7027599310340118,0.11015091822370766,,,3,97,0.009788753334656425,"PCA [u,b]"
0.1,ridge_prior_csgm,0.014075552278529116,0.0012817674897492297,0.0007400288052452287,0.01140107483429445,0.0010306455574523794,0.19541073690131527,0.020862702647285913,,,3,97,0.0014504564582806482,CLP-CSGM Ridge
0.1,ridge_prior_only_decoder,0.01604726530731614,0.0013277311185209222,0.0007665659186894974,0.013146024896625566,0.0012284013901298781,0.2274630745974013,0.019664262737440038,,,3,97,0.001502469200631415,Prior-only Ridge
0.2,ae_regression_ub,0.01641119260215266,0.000447809609438791,0.00025854299855518716,0.013568874391962082,0.00048041273297381396,0.20992706710651354,0.006125197354046727,,,3,97,0.0005067442771681668,"AE [u,b]"
0.2,measurement_only_csgm,0.025062180858437384,0.004694871707777304,0.0027105854442959847,0.018720004378109157,0.003326107941439505,0.3557867713967255,0.09064316867691605,,,3,97,0.00531274747082013,Measurement-only CSGM
0.2,ml_only,0.02214790440092793,0.0009016218721176149,0.0005205516305743593,0.01789040845660442,0.0007209985815067639,0.3004227453095732,0.015668956549805466,,,3,97,0.0010202811959257442,ML only
0.2,mlp_concat_ub,0.1623089295506195,0.009123183348149077,0.005267272361920181,0.13072632195022807,0.007774832865068564,2.2046123518099314,0.17721253087754874,,,3,97,0.010323853829363554,"MLP [u,b]"
0.2,pca_regression_ub,0.11251249719642616,0.008530031880985986,0.004924816202683349,0.09108634529015287,0.00649374771150963,1.5811639837405604,0.12533514896326828,,,3,97,0.009652639757259364,"PCA [u,b]"
0.2,ridge_prior_csgm,0.012064022448228762,0.0005646407595766438,0.00032599549453701007,0.009593805593199577,0.0004321579521188759,0.16371919533927262,0.008921407896825544,,,3,97,0.0006389511692925397,CLP-CSGM Ridge
0.2,ridge_prior_only_decoder,0.01604726530731614,0.0013277311185209222,0.0007665659186894974,0.013146024896625566,0.0012284013901298781,0.2274630745974013,0.019664262737440038,,,3,97,0.001502469200631415,Prior-only Ridge
