seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.05,ae_regression_ub,0.013986985847911543,0.011373369873350546,0.1829266341365965,,385
7,0.05,hybrid_lfista_joint,0.0257682706141521,0.021094415122433794,0.34116244353428377,0.09506904259035134,385
7,0.05,ml_only,0.01713549113063941,0.013752540513623205,0.22875679533845683,,385
7,0.05,mlp_concat_ub,0.08062421571142804,0.0657213106648595,1.063533302731669,,385
7,0.05,pca_regression_ub,0.0755621392838577,0.061010509106780665,1.020721882627002,,385
7,0.1,ae_regression_ub,0.013763749989461452,0.011216078575653975,0.17806960501488756,,385
7,0.1,hybrid_lfista_joint,0.025772959375942216,0.020943163869160047,0.34106197226589025,0.13987215251090926,385
7,0.1,ml_only,0.01713549113063941,0.013752540513623205,0.22875679533845683,,385
7,0.1,mlp_concat_ub,0.08494697730726535,0.06879805716224707,1.1261582962659682,,385
7,0.1,pca_regression_ub,0.09267857107440515,0.07599186240496063,1.3022408209291265,,385
7,0.15,ae_regression_ub,0.013701046839797556,0.011062781126510492,0.17990523742149947,,385
7,0.15,hybrid_lfista_joint,0.022526720894444522,0.017810098453778116,0.30174154818937504,0.25054800005673633,385
7,0.15,ml_only,0.01713549113063941,0.013752540513623205,0.22875679533845683,,385
7,0.15,mlp_concat_ub,0.08786354549048403,0.07153514685425257,1.1549529608113935,,385
7,0.15,pca_regression_ub,0.07468858574689292,0.06002887517375317,1.0260798148554091,,385
7,0.2,ae_regression_ub,0.013380502551316292,0.010871586750088418,0.17448209480656102,,385
7,0.2,hybrid_lfista_joint,0.02274336350602112,0.017680139592491522,0.3011438089732122,0.2973856800471277,385
7,0.2,ml_only,0.01713549113063941,0.013752540513623205,0.22875679533845683,,385
7,0.2,mlp_concat_ub,0.08631706420863218,0.07021061691310826,1.1639349003712827,,385
7,0.2,pca_regression_ub,0.08341766865665819,0.06750071135848608,1.115743100368183,,385
7,0.3,ae_regression_ub,0.013307872170912338,0.01084499799678186,0.1757429687758844,,385
7,0.3,hybrid_lfista_joint,0.019009710087214412,0.014703096138233299,0.24979584312337766,0.3490772420354532,385
7,0.3,ml_only,0.01713549113063941,0.013752540513623205,0.22875679533845683,,385
7,0.3,mlp_concat_ub,0.08760414550205384,0.07084566707444534,1.1413665370497441,,385
7,0.3,pca_regression_ub,0.08331483946531888,0.0672134584266421,1.1119204191907224,,385
23,0.05,ae_regression_ub,0.014297501936908949,0.01155776636124593,0.18926945792104846,,385
23,0.05,hybrid_lfista_joint,0.028287037393459905,0.023184402844761063,0.3861685314000431,0.10496213397128837,385
23,0.05,ml_only,0.016857185448260772,0.013562366699300832,0.2237400900719562,,385
23,0.05,mlp_concat_ub,0.07605114129500722,0.06234085540225448,0.9763135332616789,,385
23,0.05,pca_regression_ub,0.07192956693172814,0.05793827324116837,0.9745085856007106,,385
23,0.1,ae_regression_ub,0.014507686259958267,0.011863448021828222,0.19339850876186632,,385
23,0.1,hybrid_lfista_joint,0.028140100608284122,0.022952661649039,0.38063061920526364,0.14724768354775483,385
23,0.1,ml_only,0.016857185448260772,0.013562366699300832,0.2237400900719562,,385
23,0.1,mlp_concat_ub,0.06348870626798507,0.052469785222509085,0.7982711881429233,,385
23,0.1,pca_regression_ub,0.07649162126466842,0.06178729866274581,1.0221709977287177,,385
23,0.15,ae_regression_ub,0.014474883635917063,0.011791734693475716,0.19223110115742104,,385
23,0.15,hybrid_lfista_joint,0.026403474719479684,0.02110168682837677,0.36079838135824305,0.2543267835141611,385
23,0.15,ml_only,0.016857185448260772,0.013562366699300832,0.2237400900719562,,385
23,0.15,mlp_concat_ub,0.07585171054843252,0.06199761159656887,0.9834912112359167,,385
23,0.15,pca_regression_ub,0.06167772977855148,0.04967557494683763,0.771609502111602,,385
23,0.2,ae_regression_ub,0.01481569806505574,0.012018359917752502,0.19968624114756614,,385
23,0.2,hybrid_lfista_joint,0.025954835483333973,0.020510295453377687,0.352581891826541,0.3014194389546765,385
23,0.2,ml_only,0.016857185448260772,0.013562366699300832,0.2237400900719562,,385
23,0.2,mlp_concat_ub,0.07960937884376479,0.06493194162171442,1.0474413787647119,,385
23,0.2,pca_regression_ub,0.06729756416415043,0.05445859748245362,0.9242241142122946,,385
23,0.3,ae_regression_ub,0.014300316693363086,0.011635142022728688,0.18701561039054757,,385
23,0.3,hybrid_lfista_joint,0.022431452344891828,0.017047236462176946,0.2895410889687993,0.39432984179344177,385
23,0.3,ml_only,0.016857185448260772,0.013562366699300832,0.2237400900719562,,385
23,0.3,mlp_concat_ub,0.07895518799231588,0.06431258969181805,1.049724104521187,,385
